Id,yymmdd_in,yymmdd_out,decy_in,decy_out,hhmm_in,hhmm_out,Lat_in,Lat_out,Long_in,Long_out,QF,Depth,pres,temp,salt,lt1,lt2,lt3,dark,t0,pp,Chl,Temp,Sal,O2,NO3,PO4,POC,PON,POP,TOC,TN,TDP,Bact
1000308101,19881218,19881218,1988.965,,,,31.669,,64.049,,2,5.0,,,,7.21,6.59,,0.75,1.26,6.15,0.095,21.45,,204.4,0.0,0.0,25.35,3.28,,,,,
1000308102,19881218,19881218,1988.965,,,,31.669,,64.049,,2,25.0,,,,6.0,,,,1.97,,0.089,21.45,,204.0,0.0,0.0,23.62,3.42,,,,,
1000308103,19881218,19881218,1988.965,,,,31.669,,64.049,,2,50.0,,,,3.62,2.69,3.19,1.02,1.57,2.15,0.093,21.799,,203.2,0.0,0.0,21.79,3.33,,,,,
1000308104,19881218,19881218,1988.965,,,,31.669,,64.049,,2,75.0,,,,2.21,1.4,1.55,1.43,1.47,0.29,0.122,21.57,,203.2,0.06,0.0,32.69,4.02,,,,,
1000308105,19881218,19881218,1988.965,,,,31.669,,64.049,,2,100.0,,,,1.15,1.78,8.48,0.95,1.46,2.85,0.11,19.736,,194.5,0.23,0.03,15.15,1.94,,,,,
1000308106,19881218,19881218,1988.965,,,,31.669,,64.049,,2,120.0,,,,1.29,0.75,1.47,1.01,2.08,0.16,0.045,19.44,,190.7,0.58,0.0,21.82,2.08,,,,,
1000408101,19890127,19890127,1989.074,,,,31.695,,64.252,,2,18.0,,,,3.77,3.75,4.36,0.18,0.19,3.78,0.097,20.853,,217.6,0.07,0.0,19.74,3.46,,,,,
1000408102,19890127,19890127,1989.074,,,,31.695,,64.252,,2,41.0,,,,3.66,3.55,3.92,0.21,0.21,3.5,0.091,20.784,,229.5,0.06,0.04,15.66,2.49,,,,,
1000408103,19890127,19890127,1989.074,,,,31.695,,64.252,,2,62.0,,,,2.17,2.33,2.05,0.16,0.09,2.02,0.095,20.885,,231.6,0.12,0.03,14.21,2.25,,,,,
1000408104,19890127,19890127,1989.074,,,,31.695,,64.252,,2,81.0,,,,0.93,0.92,1.02,0.19,0.09,0.77,0.088,20.772,,226.5,0.07,0.03,14.56,2.6,,,,,
1000408105,19890127,19890127,1989.074,,,,31.695,,64.252,,2,102.0,,,,0.79,0.64,0.67,0.21,0.1,0.49,0.088,20.768,,224.8,0.21,0.06,13.0,2.09,,,,,
1000508101,19890219,19890219,1989.137,,,,31.65,,64.522,,2,2.0,,,,,29.67,27.81,0.44,0.18,28.3,0.203,19.879,,232.4,0.18,0.05,55.2,8.08,,,,,
1000508102,19890219,19890219,1989.137,,,,31.65,,64.522,,2,20.0,,,,6.39,7.05,12.02,0.38,0.22,8.11,0.231,19.438,,236.2,0.3,0.03,58.97,9.56,,,,,
1000508103,19890219,19890219,1989.137,,,,31.65,,64.522,,2,30.0,,,,24.23,25.33,25.31,0.39,0.24,24.57,0.437,19.421,,232.4,0.38,0.0,44.65,6.75,,,,,
1000508104,19890219,19890219,1989.137,,,,31.65,,64.522,,2,47.0,,,,,2.06,2.21,0.29,0.21,1.84,0.592,19.416,,229.8,0.62,0.0,31.76,5.84,,,,,
1000508105,19890219,19890219,1989.137,,,,31.65,,64.522,,2,75.0,,,,0.83,0.86,0.91,,0.24,,0.171,19.399,,227.7,0.89,0.03,24.61,3.7,,,,,
1000508106,19890219,19890219,1989.137,,,,31.65,,64.522,,2,100.0,,,,0.36,0.38,0.32,0.23,0.22,0.12,0.138,19.382,,228.6,0.85,0.0,11.93,2.2,,,,,
1000608101,19890326,19890326,1989.233,,,,31.135,,64.751,,2,4.0,,,,4.11,4.47,4.56,0.36,0.3,4.02,0.051,20.805,,233.4,0.18,0.0,24.2,3.72,,,,,2.8
1000608102,19890326,19890326,1989.233,,,,31.135,,64.751,,2,15.0,,,,3.17,3.02,3.42,0.35,0.32,2.85,0.057,20.931,,232.5,0.14,0.0,26.38,3.48,,,,,3.2
1000608103,19890326,19890326,1989.233,,,,31.135,,64.751,,2,25.0,,,,4.17,4.28,4.34,0.46,0.29,3.8,0.057,20.582,,234.2,0.27,0.0,26.76,3.99,,,,,3.1
1000608104,19890326,19890326,1989.233,,,,31.135,,64.751,,2,35.0,,,,4.38,3.56,3.87,0.4,0.37,3.54,0.058,20.449,,234.6,0.2,0.0,21.15,3.38,,,,,3.3
